City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
81,yellowknife,62.456,-114.3525,-6.44,93,75,6.71,CA,1699244875
82,muli,2.9167,73.5667,27.69,76,96,3.65,MV,1699244950
83,kalmunai,7.4167,81.8167,28.65,70,81,1.5,LK,1699244950
84,vilyuchinsk,52.9306,158.4028,0.15,61,79,9.46,RU,1699244951
85,sinalunga,43.2152,11.7495,13.03,87,0,2.34,IT,1699244951
86,qaqortoq,60.7167,-46.0333,-1.16,87,100,5.7,GL,1699244951
87,nizhniy odes,63.6445,54.856,0.78,87,100,4.86,RU,1699244952
88,rongelap,11.1635,166.8941,28.07,77,97,9.02,MH,1699244952
89,pariaman,-0.619,100.12,29.03,76,27,1.83,ID,1699244952
90,avarua,-21.2078,-159.775,23.03,64,40,5.14,CK,1699244952
91,kembe,4.6228,21.8865,19.86,98,40,0.23,CF,1699244953
92,irtyshsk,53.3333,75.4572,-2.23,85,55,3.53,KZ,1699244953
93,invercargill,-46.4,168.35,14.45,59,11,3.58,NZ,1699244953
94,vryburg,-26.9566,24.7284,20.8,58,0,3.4,ZA,1699244954
95,bel ombre,-4.6167,55.4167,28.91,74,40,6.17,SC,1699244954
96,la passe,45.5549,-0.8967,11.13,77,100,10.26,FR,1699244954
97,lorengau,-2.0226,147.2712,28.77,76,99,2.48,PG,1699244955
98,villa vasquez,19.7411,-71.4464,25.16,86,98,1.99,DO,1699244955
99,turinsk,58.0458,63.696,-2.35,82,100,3.15,RU,1699244956
100,kokpekty,48.75,82.4,-2.31,63,8,4.19,KZ,1699244956
101,bereket,39.2446,55.5154,16.83,42,0,3.93,TM,1699244956
102,swakopmund,-22.6833,14.5333,14.47,83,98,0.59,NA,1699244957
103,marquette,46.5333,-87.6335,4.69,97,100,2.24,US,1699244957
104,cockburn town,21.4612,-71.1419,27.85,71,86,5.48,TC,1699244957
105,pudozh,61.8099,36.5345,3.86,96,100,5.36,RU,1699244958
106,labrador city,52.9463,-66.9114,-7.05,86,75,5.14,CA,1699244958
107,island harbour,50.724,-1.2758,11.07,88,79,1.34,GB,1699244958
108,harper,4.375,-7.7169,25.26,89,14,1.53,LR,1699244958
109,bredasdorp,-34.5322,20.0403,14.37,91,100,1.35,ZA,1699244959
110,nuriootpa,-34.4833,139.0,27.99,12,5,7.71,AU,1699244959
111,kegeyli shahar,42.7767,59.6078,5.05,39,80,3.0,UZ,1699244959
112,tindouf,27.6711,-8.1474,17.25,63,0,4.63,DZ,1699244960
113,shangzhi,45.2167,127.9667,-6.25,94,100,12.0,CN,1699244960
114,ushuaia,-54.8,-68.3,5.79,87,75,7.2,AR,1699244807
115,georgetown,5.4112,100.3354,30.97,74,20,2.57,MY,1699244961
116,kawalu,-7.3817,108.2082,31.63,53,87,2.34,ID,1699244961
117,ulanhot,46.0833,122.0833,-6.45,36,100,14.44,CN,1699244961
118,walvis bay,-22.9575,14.5053,14.53,88,100,1.03,NA,1699244962
119,eyl,7.9803,49.8164,26.75,81,37,6.4,SO,1699244962
120,ciudad lazaro cardenas,17.9583,-102.2,25.82,87,29,0.89,MX,1699244864
121,rio grande,-32.035,-52.0986,16.08,78,92,4.69,BR,1699244962
122,mikomeseng,2.1361,10.6132,20.9,99,100,0.24,GQ,1699244963
123,kavieng,-2.5744,150.7967,28.71,73,100,2.8,PG,1699244963
124,haldwani,29.2167,79.5167,20.73,34,0,1.37,IN,1699244963
125,derbent,42.0678,48.2899,14.61,77,45,0.37,RU,1699244964
126,la foa,-21.7108,165.8276,23.24,68,54,7.12,NC,1699244964
127,dunedin,-45.8742,170.5036,10.94,67,91,4.36,NZ,1699244897
128,st. john's,47.5649,-52.7093,8.87,98,100,6.17,CA,1699244965
129,sinabang,2.4803,96.3801,26.95,83,100,0.55,ID,1699244965
130,kapa'a,22.0752,-159.319,28.99,75,100,8.23,US,1699244965
131,isafjordur,66.0755,-23.124,0.22,92,100,12.04,IS,1699244965
132,viedma,-40.8135,-62.9967,16.81,48,100,2.89,AR,1699244966
133,lerwick,60.1545,-1.1494,9.0,85,100,4.92,GB,1699244966
134,susuman,62.7833,148.1667,-20.01,95,89,0.67,RU,1699244966
135,pieksamaki,62.3,27.1333,1.92,100,100,1.77,FI,1699244967
136,mana,5.6592,-53.7767,26.52,88,83,4.85,GF,1699244967
137,talnakh,69.4865,88.3972,-11.55,96,100,2.59,RU,1699244967
138,dowlatabad,32.7998,51.6955,3.82,100,0,1.03,IR,1699244968
139,coquimbo,-29.9533,-71.3436,13.85,88,0,2.57,CL,1699244968
140,stanley,54.868,-1.6985,5.4,93,0,2.06,GB,1699244848
141,tutong,4.8,114.65,30.05,75,90,2.55,BN,1699244968
142,badger,64.8,-147.5333,-7.07,90,100,1.54,US,1699244969
143,san patricio,28.017,-97.5169,24.92,78,100,3.69,US,1699244969
144,rikaze,29.25,88.8833,4.91,15,0,0.9,CN,1699244969
145,torghay,49.6339,63.4981,3.88,71,32,4.39,KZ,1699244970
146,wanganui,-39.9333,175.05,13.66,89,72,7.15,NZ,1699244970
147,shurugwi,-19.6702,30.0059,19.47,43,36,2.41,ZW,1699244970
148,carbonear,47.7332,-53.2148,9.51,97,100,4.99,CA,1699244971
149,wesley hills,41.1593,-74.0699,9.55,74,59,2.02,US,1699244972
150,mili,6.0815,171.735,28.35,79,100,9.21,MH,1699244972
151,geraldton,-28.7667,114.6,24.23,53,1,6.69,AU,1699244972
152,sevan,40.5484,44.9487,5.21,66,2,2.83,AM,1699244973
153,lihue,21.9789,-159.3672,28.58,68,100,8.23,US,1699244925
154,dudinka,69.4058,86.1778,-14.07,97,100,2.68,RU,1699244973
155,cobija,-11.0267,-68.7692,24.13,77,78,0.87,BO,1699244974
156,ascension,30.2169,-90.9001,18.12,85,0,0.0,US,1699244974
157,itapema,-27.0903,-48.6114,16.68,94,31,1.94,BR,1699244832
158,pisco,-13.7,-76.2167,19.03,82,0,5.66,PE,1699244680
159,kodiak,57.79,-152.4072,-1.27,55,0,3.09,US,1699244975
